HOUR,referrer channel,purchase count
13,internal,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,1
13,internal,0
13,internal,1
13,internal,0
13,internal,0
13,typed_bookmarked,1
13,internal,1
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,typed_bookmarked,0
13,internal,1
13,internal,1
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,1
13,internal,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,1
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,internal,1
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,1
13,internal,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,1
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,1
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,typed_bookmarked,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,1
13,internal,1
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,internal,1
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,1
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,1
13,internal,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,1
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,internal,1
13,typed_bookmarked,0
13,internal,0
13,internal,1
13,typed_bookmarked,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,1
13,internal,0
13,internal,0
